Ejari Contract Number,Registration Date,Start Date,End Date,Version,Area,Contract Amount,Annual Amount,Is Free Hold?,Property Size (sq.m),Property Type,Property Sub Type,Number of Rooms,Usage,Nearest Metro,Nearest Mall,Nearest Landmark,Parking,No of Units,Master Project,Project
"0120130905000868","2024-02-25 08:47:11","2024-02-28 00:00:00","2025-02-27 00:00:00","Renewed","Ras Al Khor Industrial Third","45980","45980","Non Free Hold","87.89","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120131128001824","2024-02-25 12:39:53","2024-03-05 00:00:00","2025-03-04 00:00:00","Renewed","Naif","40000","40000","Non Free Hold","20","Unit","Shop","","Commercial","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120150927001605","2024-02-25 16:07:34","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Al Hudaiba","45000","45000","Non Free Hold","62.71","Unit","Flat","","Residential","Trade Centre Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120151012003035","2024-02-25 23:55:30","2024-03-05 00:00:00","2025-03-04 00:00:00","Renewed","Al Dhagaya","319000","319000","Non Free Hold","22.67","Unit","Shop","","Commercial","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120151110000738","2024-02-25 09:38:03","2024-02-09 00:00:00","2025-02-08 00:00:00","Renewed","Al Raffa","70000","70000","Non Free Hold","138.37","Unit","Flat","","Residential","Al Fahidi Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120160206112247","2024-02-25 13:27:31","2024-02-15 00:00:00","2024-05-14 00:00:00","Renewed","Al Barsha First","18986","75944","Non Free Hold","94.67","Unit","Office","","Commercial","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120160214133634","2024-02-25 09:52:47","2024-02-21 00:00:00","2025-02-20 00:00:00","Renewed","Muhaisanah Fourth","50000","50000","Non Free Hold","134.3","Unit","Flat","","Residential","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120161120001603","2024-02-25 10:19:36","2024-02-20 00:00:00","2025-02-19 00:00:00","Renewed","Al Thanyah Fifth","82960","82960","Free Hold","149.43","Unit","Flat","","Residential","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","","1","",""
"0120170215003162","2024-02-25 11:32:41","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Al Goze Industrial First","63000","63000","Non Free Hold","192.28","Unit","Warehouse","","Industrial","Noor Bank Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120170215003233","2024-02-25 11:30:22","2023-11-17 00:00:00","2024-11-16 00:00:00","Renewed","Al Goze Industrial First","63000","63000","Non Free Hold","192.28","Unit","Warehouse","","Industrial","Noor Bank Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120170218000295","2024-02-25 09:15:45","2024-02-15 00:00:00","2025-02-14 00:00:00","Renewed","Jumeirah Third","670045","670045","Non Free Hold","359.23","Villa","Villa","","Commercial","Noor Bank Metro Station","Dubai Mall","Burj Khalifa","0","1","",""
"0120170418001630","2024-02-25 10:54:33","2024-02-01 00:00:00","2025-01-31 00:00:00","Renewed","Al Qusais First","49000","49000","Non Free Hold","1158.67","Unit","Flat","","Residential","Airport Free Zone","City Centre Mirdif","Dubai International Airport","","1","",""
"0120171115002422","2024-02-25 14:03:48","2024-03-05 00:00:00","2025-03-04 00:00:00","Renewed","Al Dhagaya","138000","138000","Non Free Hold","18.39","Unit","Shop","","Commercial","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120171218001079","2024-02-25 14:32:06","2023-11-01 00:00:00","2024-10-31 00:00:00","Renewed","Al Qusais First","40000","40000","Non Free Hold","68.75","Unit","Flat","","Residential","Al Nahda Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120171223000161","2024-02-25 08:59:16","2024-03-01 00:00:00","2025-02-28 00:00:00","Renewed","Al Murqabat","43700","43700","Non Free Hold","65.03","Unit","Flat","","Residential","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120180108004996","2024-02-25 19:07:54","2024-01-01 00:00:00","2024-12-31 00:00:00","Renewed","Al Satwa","67500","67500","Non Free Hold","23","Unit","Shop","","Commercial","Trade Centre Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120180110000746","2024-02-25 16:48:06","2024-02-01 00:00:00","2025-01-31 00:00:00","Renewed","Al Bada","58000","58000","Non Free Hold","123.65","Unit","Flat","","Residential","Trade Centre Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120180123004607","2024-02-25 18:56:01","2024-01-01 00:00:00","2024-12-31 00:00:00","Renewed","Al Satwa","45850","45850","Non Free Hold","40","Unit","Shop","","Commercial","Trade Centre Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120180125000362","2024-02-25 08:02:33","2024-01-01 00:00:00","2024-12-31 00:00:00","Renewed","Hor Al Anz East","35000","35000","Non Free Hold","131.5","Unit","Flat","","Residential","Abu Hail Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120180206002682","2024-02-25 23:47:03","2024-03-05 00:00:00","2025-03-04 00:00:00","Renewed","Al Dhagaya","319000","319000","Non Free Hold","22.67","Unit","Shop","","Commercial","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120180207001567","2024-02-25 14:15:51","2023-03-07 00:00:00","2025-03-06 00:00:00","Renewed","Al Barsha First","75075","37537.5","Non Free Hold","143.91","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120180213000477","2024-02-25 16:43:07","2024-02-25 00:00:00","2025-02-24 00:00:00","Renewed","Business Bay","104737","104737","Non Free Hold","170.85","Unit","Flat","","Residential","","","","","1","",""
