Ejari Contract Number,Registration Date,Start Date,End Date,Version,Area,Contract Amount,Annual Amount,Is Free Hold?,Property Size (sq.m),Property Type,Property Sub Type,Number of Rooms,Usage,Nearest Metro,Nearest Mall,Nearest Landmark,Parking,No of Units,Master Project,Project
"0120130902001511","2023-12-02 09:44:26","2023-11-08 00:00:00","2024-11-07 00:00:00","Renewed","Muhaisanah Fourth","38500","38500","Non Free Hold","99.41","Unit","Flat","","Residential","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120160728002774","2023-12-02 10:53:18","2023-09-18 00:00:00","2024-09-17 00:00:00","Renewed","Al Buteen","56417","56417","Non Free Hold","60.7","Unit","Office","","Commercial","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120181127000474","2023-12-02 10:14:14","2023-12-04 00:00:00","2024-12-03 00:00:00","Renewed","Muhaisanah Fourth","39000","39000","Non Free Hold","85.6","Unit","Flat","","Residential","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120181129001326","2023-12-02 23:31:33","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Jabal Ali First","38400","38400","Free Hold","48","Unit","Flat","","Residential","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
"0120181231002995","2023-12-02 00:57:06","2024-01-01 00:00:00","2024-12-31 00:00:00","Renewed","Al Satwa","34500","34500","Non Free Hold","49.42","Unit","Flat","","Residential","Trade Centre Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120181231003009","2023-12-02 14:24:36","2024-01-01 00:00:00","2024-12-31 00:00:00","Renewed","Al Satwa","34500","34500","Non Free Hold","52.49","Unit","Flat","","Residential","Trade Centre Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120190124000097","2023-12-02 08:01:04","2024-02-01 00:00:00","2025-01-31 00:00:00","Renewed","Hor Al Anz East","58432.5","58432.5","Non Free Hold","146.32","Unit","Flat","","Residential","Al Qiyadah Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120200831001062","2023-12-02 19:31:18","2024-01-01 00:00:00","2024-12-31 00:00:00","Renewed","Al Sabkha","143000","143000","Non Free Hold","15","Unit","Shop","","Commercial","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120200913000996","2023-12-02 20:05:30","2023-09-15 00:00:00","2024-09-14 00:00:00","Renewed","Al Thanyah Third","65050","65050","Free Hold","101.02","Unit","Flat","","Residential","Dubai Internet City","Marina Mall","Burj Al Arab","","1","",""
"0120201019003064","2023-12-02 09:11:15","2023-12-08 00:00:00","2024-12-07 00:00:00","Renewed","Al Bada","140000","140000","Non Free Hold","299.15","Villa","Villa","","Residential","Financial Centre","Dubai Mall","Burj Khalifa","1","1","",""
