Ejari Contract Number,Registration Date,Start Date,End Date,Version,Area,Contract Amount,Annual Amount,Is Free Hold?,Property Size (sq.m),Property Type,Property Sub Type,Number of Rooms,Usage,Nearest Metro,Nearest Mall,Nearest Landmark,Parking,No of Units,Master Project,Project
"0120201026003304","2023-12-02 10:09:34","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Al Karama","42000","42000","Non Free Hold","69.68","Unit","Flat","","Residential","ADCB Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120201027003061","2023-12-02 23:32:05","2023-12-05 00:00:00","2024-12-04 00:00:00","Renewed","Al Warsan First","23595","23595","Free Hold","44.5","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120201028003247","2023-12-02 21:16:49","2023-12-03 00:00:00","2024-12-02 00:00:00","Renewed","Al Warsan First","22990","22990","Free Hold","43","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120201103003348","2023-12-02 12:27:09","2023-11-15 00:00:00","2024-11-14 00:00:00","Renewed","Al Barsha South Fourth","44000","44000","Free Hold","82.87","Unit","Flat","","Residential","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","","1","",""
"0120201108004088","2023-12-02 21:57:40","2023-11-21 00:00:00","2024-11-20 00:00:00","Renewed","Al Warsan First","17500","17500","Free Hold","23.5","Unit","Labor Camps","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120201128000258","2023-12-02 16:16:42","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Al Murqabat","51000","51000","Non Free Hold","0","Unit","Flat","","Residential","Abu Baker Al Siddique Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120201219001377","2023-12-02 11:51:18","2024-01-01 00:00:00","2024-12-31 00:00:00","Renewed","Al Nahda Second","40000","40000","Non Free Hold","72","Unit","Flat","","Residential","Al Nahda Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120210522000773","2023-12-02 13:08:57","2023-07-01 00:00:00","2024-06-30 00:00:00","Renewed","Me'Aisem First","40000","40000","Free Hold","39.48","Unit","Flat","","Residential","Damac Properties","Marina Mall","Sports City Swimming Academy","","1","",""
"0120210705000238","2023-12-02 10:31:41","2023-08-08 00:00:00","2024-08-07 00:00:00","Renewed","Al Qusais First","56000","56000","Non Free Hold","117.38","Unit","Flat","","Residential","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120210817002165","2023-12-02 10:24:21","2023-09-21 00:00:00","2024-09-20 00:00:00","Renewed","Al Qusais First","52500","52500","Non Free Hold","107.99","Unit","Flat","","Residential","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120210906000406","2023-12-02 17:09:46","2023-10-10 00:00:00","2024-10-09 00:00:00","Renewed","Ras Al Khor Industrial Third","37200","37200","Free Hold","92","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120210918001796","2023-12-02 12:21:11","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Al Barsha South Fourth","50000","50000","Free Hold","72.19","Unit","Flat","","Residential","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","","1","",""
"0120210922002472","2023-12-02 15:38:11","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Al Barshaa South Third","42550","42550","Non Free Hold","66.15","Unit","Flat","","Residential","","","","","1","",""
"0120211014003606","2023-12-02 13:03:18","2023-12-14 00:00:00","2024-12-13 00:00:00","Renewed","Al Satwa","46305","46305","Non Free Hold","54.9","Unit","Flat","","Residential","Emirates Towers Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120211025004834","2023-12-02 17:17:37","2023-11-23 00:00:00","2024-11-22 00:00:00","Renewed","Ras Al Khor Industrial Third","36400","36400","Free Hold","82","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120211026000528","2023-12-02 23:23:05","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Al Warsan First","23595","23595","Free Hold","44.5","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120211027002337","2023-12-02 10:12:38","2023-12-01 00:00:00","2024-02-29 00:00:00","Renewed","Al Goze Fourth","12442.25","49769","Non Free Hold","114","Unit","Flat","","Residential","Noor Bank Metro Station","Mall of the Emirates","Downtown Dubai","","1","",""
"0120211119000043","2023-12-02 23:20:12","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Al Barsha South Fourth","48825","48825","Free Hold","101.08","Unit","Flat","","Residential","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","","1","","EMIRATES GARDEN I - GARDENIA"
"0120211130001688","2023-12-02 10:33:45","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Hor Al Anz","36000","36000","Non Free Hold","47.01","Unit","Flat","","Residential","Abu Baker Al Siddique Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120211206003225","2023-12-02 18:48:02","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Al Thanyah Fifth","80000","80000","Free Hold","93.75","Unit","Flat","","Residential","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","","1","","GLOBAL LAKE VIEW"
"0120211207000974","2023-12-02 10:20:00","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Dubai Investment Park First","60060","60060","Free Hold","158.32","Unit","Flat","","Residential","DANUBE Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","",""
"0120211212005640","2023-12-02 19:49:19","2024-01-17 00:00:00","2025-01-16 00:00:00","Renewed","Warsan Fourth","35000","35000","Free Hold","67.65","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120211214001407","2023-12-02 23:13:19","2023-11-30 00:00:00","2024-11-29 00:00:00","Renewed","Al Warsan First","56048","56048","Free Hold","82.23","Unit","Shop","","Commercial","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120220104004684","2023-12-02 23:29:25","2023-10-15 00:00:00","2024-10-14 00:00:00","Renewed","Madinat Al Mataar","28000","28000","Free Hold","61.97","Unit","Flat","","Residential","","","Expo 2020 Site","","1","","MAG 5 BOULEVARD"
"0120220105002616","2023-12-02 00:52:59","2024-01-01 00:00:00","2024-12-31 00:00:00","Renewed","Al Satwa","50000","50000","Non Free Hold","20.16","Unit","Shop","","Commercial","Trade Centre Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120220110001943","2023-12-02 07:44:13","2024-01-01 00:00:00","2024-12-31 00:00:00","Renewed","Hor Al Anz East","58800","58800","Non Free Hold","147.72","Unit","Flat","","Residential","Al Qiyadah Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120220112003430","2023-12-02 10:01:14","2023-01-20 00:00:00","2024-01-19 00:00:00","Renewed","Al Karama","44000","44000","Non Free Hold","70","Unit","Flat","","Residential","ADCB Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120220118001391","2023-12-02 13:01:38","2023-11-15 00:00:00","2024-11-14 00:00:00","Renewed","Wadi Al Safa 5","66000","66000","Free Hold","68.18","Unit","Flat","","Residential","","","IMG World Adventures","","1","","SKY COURTS"
"0120220123000326","2023-12-02 10:14:51","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Dubai Investment Park First","56700","56700","Free Hold","165.52","Unit","Flat","","Residential","DANUBE Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","",""
"0120220801005204","2023-12-02 10:56:05","2024-01-01 00:00:00","2024-12-31 00:00:00","Renewed","Al Mararr","50000","50000","Non Free Hold","57.69","Unit","Flat","","Residential","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120220922001979","2023-12-02 13:24:55","2023-09-24 00:00:00","2024-09-23 00:00:00","Renewed","Me'Aisem First","41100","41100","Free Hold","39.53","Unit","Flat","","Residential","Damac Properties","Marina Mall","Sports City Swimming Academy","","1","",""
"0120221003013141","2023-12-02 12:14:36","2023-10-03 00:00:00","2024-09-29 00:00:00","Renewed","Al Thanyah Third","65000","65546.22","Free Hold","68.8","Unit","Flat","","Residential","Dubai Internet City","Marina Mall","Burj Al Arab","","1","",""
"0120221020005539","2023-12-02 12:47:19","2023-10-25 00:00:00","2024-10-24 00:00:00","Renewed","Wadi Al Safa 5","53000","53000","Free Hold","68.18","Unit","Flat","","Residential","","","IMG World Adventures","","1","","SKY COURTS"
"0120221027003892","2023-12-02 14:08:46","2023-10-31 00:00:00","2024-10-30 00:00:00","Renewed","Al Hebiah Fourth","30800","30800","Free Hold","52.63","Unit","Flat","","Residential","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","","1","","CRICKET TOWER"
"0120221101002098","2023-12-02 10:29:49","2023-09-15 00:00:00","2024-09-14 00:00:00","Renewed","Al Buteen","100170","100170","Non Free Hold","88.61","Unit","Office","","Commercial","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120221109003534","2023-12-02 09:36:21","2023-11-14 00:00:00","2024-11-13 00:00:00","Renewed","Jumeirah First","165000","165000","Non Free Hold","236.8","Unit","Flat","","Residential","Financial Centre","Dubai Mall","Burj Khalifa","","1","",""
"0120221114001311","2023-12-02 13:27:04","2023-11-16 00:00:00","2024-11-15 00:00:00","Renewed","Al Yelayiss 1","185000","185000","Free Hold","336.52","Villa","Villa","4","Residential","","","Dubai Cycling Course","","1","","REEM-MIRA COMMUNITY PH 1"
"0120221115001977","2023-12-02 10:35:14","2023-11-15 00:00:00","2024-11-14 00:00:00","Renewed","Al Buteen","79543","79543","Non Free Hold","97.37","Unit","Office","","Commercial","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120221118000802","2023-12-02 10:41:51","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Burj Khalifa","110000","110000","Free Hold","86.26","Unit","Flat","","Residential","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","1","","Vida Dubai Mall"
"0120221118000802","2023-12-02 10:41:51","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Burj Khalifa","110000","110000","Free Hold","86.26","Unit","Flat","","Residential","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","1","","Boulevard Point"
"0120221118000802","2023-12-02 10:41:51","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Burj Khalifa","110000","110000","Free Hold","86.26","Unit","Flat","","Residential","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","1","","THE ADDRESS RESIDENCE FOUNTAIN VIEWS III"
"0120221118000802","2023-12-02 10:41:51","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Burj Khalifa","110000","110000","Free Hold","86.26","Unit","Flat","","Residential","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","1","","The Address Residence-Fountain Views"
"0120221118000802","2023-12-02 10:41:51","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Burj Khalifa","110000","110000","Free Hold","86.26","Unit","Flat","","Residential","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","1","","THE ADDRESS RESIDENCE FOUNTAIN VIEWS II"
"0120221121005410","2023-12-02 10:28:08","2023-11-25 00:00:00","2024-11-24 00:00:00","Renewed","Al Satwa","78999","78999","Non Free Hold","84.57","Unit","Flat","","Residential","Financial Centre","Dubai Mall","Burj Khalifa","","1","",""
"0120221126001072","2023-12-02 10:08:25","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Dubai Investment Park First","60000","60000","Free Hold","167.62","Unit","Flat","","Residential","DANUBE Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","",""
"0120221128004203","2023-12-02 12:56:03","2023-12-02 00:00:00","2024-12-01 00:00:00","Renewed","Me'Aisem First","46000","46000","Free Hold","77.33","Unit","Flat","","Residential","Damac Properties","Marina Mall","Sports City Swimming Academy","","1","","OAKWOOD RESIDENCY"
"0120221129003462","2023-12-02 19:11:56","2023-11-30 00:00:00","2024-11-29 00:00:00","Renewed","Me'Aisem First","28000","28000","Free Hold","46.54","Unit","Flat","","Residential","Damac Properties","Marina Mall","Sports City Swimming Academy","","1","","THE CRESCENT"
"0120221204000167","2023-12-02 08:46:01","2024-01-01 00:00:00","2024-12-31 00:00:00","Renewed","Al Qusais Industrial Fifth","45000","45000","Non Free Hold","100.74","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120221212001482","2023-12-02 09:24:21","2023-12-13 00:00:00","2024-12-12 00:00:00","Renewed","Al Thanyah Fifth","150000","150000","Free Hold","182.65","Unit","Flat","","Residential","Damac Properties","Marina Mall","Burj Al Arab","","1","","AL SEEF II"
"0120221224000605","2023-12-02 11:50:49","2024-01-01 00:00:00","2024-12-31 00:00:00","Renewed","Al Barsha South Fourth","50200","50200","Free Hold","82.87","Unit","Flat","","Residential","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","","1","",""
"0120230102005403","2023-12-02 15:55:36","2024-01-02 00:00:00","2025-01-01 00:00:00","Renewed","Al Hebiah Third","33000","33000","Free Hold","37.85","Unit","Flat","","Residential","","","Motor City","","1","","DAMAC HILLS - CARSON "
"0120230215002001","2023-12-02 19:57:15","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Al Hebiah Fourth","26000","26000","Free Hold","72.67","Unit","Flat","","Residential","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","","1","","ELITE SPORTS RESIDENCE"
"0120231202000004","2023-12-02 00:53:02","2023-12-02 00:00:00","2024-12-01 00:00:00","New","Al Barsha South Fourth","45000","45000","Free Hold","38.67","Unit","Flat","","Residential","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","","1","","THE CONCOURSE"
"0120231202000004","2023-12-02 00:53:02","2023-12-02 00:00:00","2024-12-01 00:00:00","New","Al Barsha South Fourth","45000","45000","Free Hold","38.67","Unit","Flat","","Residential","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","","1","","GHALIA"
"0120231202000008","2023-12-02 00:55:36","2023-12-02 00:00:00","2024-12-01 00:00:00","New","Al Warsan First","32000","32000","Free Hold","67.58","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","","INTERNATIONAL CITY EMARATI"
"0120231202000014","2023-12-02 01:21:53","2023-12-01 00:00:00","2024-11-30 00:00:00","New","Al Muteena","42000","42000","Non Free Hold","76","Unit","Flat","","Residential","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120231202000018","2023-12-02 05:03:31","2023-12-07 00:00:00","2024-12-06 00:00:00","New","Me'Aisem First","30000","30000","Free Hold","34.31","Unit","Flat","","Residential","Damac Properties","Marina Mall","Sports City Swimming Academy","","1","","LAKESIDE"
"0120231202000025","2023-12-02 08:52:35","2023-12-02 00:00:00","2024-12-01 00:00:00","New","Business Bay","130000","130000","Free Hold","116.53","Unit","Office","","Commercial","Business Bay Metro Station","Dubai Mall","Downtown Dubai","","1","","OXFORD TOWER"
"0120231202000030","2023-12-02 09:32:26","2023-12-27 00:00:00","2024-12-26 00:00:00","New","Ras Al Khor Industrial Third","41800","41800","Non Free Hold","86.68","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120231202000036","2023-12-02 09:38:38","2023-12-06 00:00:00","2024-12-05 00:00:00","New","Al Qusais First","27600","27600","Non Free Hold","37.16","Unit","Flat","","Residential","Airport Free Zone","City Centre Mirdif","Dubai International Airport","","1","",""
"0120231202000038","2023-12-02 09:40:06","2024-01-01 00:00:00","2024-12-31 00:00:00","New","Al Garhoud","250000","250000","Non Free Hold","236","Villa","Villa","","Residential","Airport Terminal 1 Metro Station","City Centre Mirdif","Dubai International Airport","0","1","",""
"0120231202000042","2023-12-02 09:42:46","2023-12-25 00:00:00","2024-12-24 00:00:00","New","Al Nahda First","27499","27499","Non Free Hold","26.11","Unit","Flat","","Residential","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120231202000062","2023-12-02 10:26:30","2023-12-05 00:00:00","2024-12-04 00:00:00","New","Naif","37000","37000","Non Free Hold","20","Unit","Shop","","Commercial","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120231202000063","2023-12-02 10:26:34","2023-08-17 00:00:00","2024-08-16 00:00:00","New","Al Goze Industrial Third","137760","137760","Non Free Hold","399.94","Unit","Warehouse","","Commercial","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120231202000067","2023-12-02 10:28:40","2023-12-20 00:00:00","2024-12-19 00:00:00","New","Jabal Ali First","83000","83000","Free Hold","119.2","Unit","Flat","","Residential","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","","Azizi Shaista Residence"
"0120231202000070","2023-12-02 10:30:54","2023-12-02 00:00:00","2024-12-01 00:00:00","New","Hor Al Anz East","21000","21000","Non Free Hold","21.2","Unit","Office","","Commercial","Al Qiyadah Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120231202000075","2023-12-02 10:38:17","2023-12-02 00:00:00","2024-12-01 00:00:00","New","Hor Al Anz East","21000","21000","Non Free Hold","20.25","Unit","Office","","Commercial","Al Qiyadah Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120231202000080","2023-12-02 10:44:21","2023-10-08 00:00:00","2024-10-07 00:00:00","New","Al Buteen","136420","136420","Non Free Hold","97.37","Unit","Office","","Commercial","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120231202000082","2023-12-02 10:50:01","2023-12-10 00:00:00","2024-12-09 00:00:00","New","Al Qusais First","42000","42000","Non Free Hold","83.61","Unit","Flat","","Residential","Airport Free Zone","City Centre Mirdif","Dubai International Airport","","1","",""
"0120231202000090","2023-12-02 11:07:52","2023-12-07 00:00:00","2024-12-06 00:00:00","New","Al Hamriya","42000","42000","Non Free Hold","1","Unit","Flat","","Residential","Burjuman Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120231202000092","2023-12-02 11:10:12","2023-12-06 00:00:00","2024-12-05 00:00:00","New","Al Yelayiss 1","155000","155000","Free Hold","577.09","Villa","Villa","3","Residential","","","Dubai Cycling Course","","1","","REEM - MIRA OASIS COMMUNITY PHASE 3"
"0120231202000096","2023-12-02 11:20:26","2023-12-05 00:00:00","2024-12-04 00:00:00","New","Al Qusais Industrial Fifth","40000","40000","Non Free Hold","73.76","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120231202000099","2023-12-02 11:21:45","2023-12-05 00:00:00","2024-12-04 00:00:00","New","Al Qusais Industrial Fifth","47000","47000","Non Free Hold","109.52","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120231202000103","2023-12-02 11:27:09","2023-12-05 00:00:00","2024-12-04 00:00:00","New","Al Qusais Industrial Fifth","37000","37000","Non Free Hold","70.97","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120231202000106","2023-12-02 11:28:07","2023-12-01 00:00:00","2024-12-24 00:00:00","New","Burj Khalifa","160000","150303.03","Free Hold","151.02","Unit","Flat","","Residential","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","1","","Vida Dubai Mall"
"0120231202000106","2023-12-02 11:28:07","2023-12-01 00:00:00","2024-12-24 00:00:00","New","Burj Khalifa","160000","150303.03","Free Hold","151.02","Unit","Flat","","Residential","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","1","","THE ADDRESS RESIDENCE FOUNTAIN VIEWS II"
"0120231202000106","2023-12-02 11:28:07","2023-12-01 00:00:00","2024-12-24 00:00:00","New","Burj Khalifa","160000","150303.03","Free Hold","151.02","Unit","Flat","","Residential","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","1","","Boulevard Point"
"0120231202000106","2023-12-02 11:28:07","2023-12-01 00:00:00","2024-12-24 00:00:00","New","Burj Khalifa","160000","150303.03","Free Hold","151.02","Unit","Flat","","Residential","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","1","","THE ADDRESS RESIDENCE FOUNTAIN VIEWS III"
"0120231202000106","2023-12-02 11:28:07","2023-12-01 00:00:00","2024-12-24 00:00:00","New","Burj Khalifa","160000","150303.03","Free Hold","151.02","Unit","Flat","","Residential","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","1","","The Address Residence-Fountain Views"
"0120231202000110","2023-12-02 11:40:35","2023-12-03 00:00:00","2024-12-02 00:00:00","New","Al Kifaf","135000","135000","Free Hold","118.29","Unit","Flat","","Residential","Al Jafiliya Metro Station","Dubai Mall","Burj Khalifa","","1","","1 Residences "
"0120231202000113","2023-12-02 11:49:20","2023-12-02 00:00:00","2024-03-09 00:00:00","New","Warsan Fourth","10860.22","40000.02","Free Hold","55.72","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120231202000117","2023-12-02 11:55:13","2023-12-01 00:00:00","2024-11-30 00:00:00","New","Hor Al Anz","30000","30000","Non Free Hold","1","Unit","Flat","","Residential","Abu Baker Al Siddique Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120231202000119","2023-12-02 12:07:36","2024-01-01 00:00:00","2024-12-31 00:00:00","New","Hor Al Anz","40000","40000","Non Free Hold","1","Unit","Flat","","Residential","Abu Baker Al Siddique Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120231202000123","2023-12-02 12:19:01","2023-12-15 00:00:00","2024-12-14 00:00:00","New","Al Nahda Second","75000","75000","Non Free Hold","786.5","Unit","Flat","","Residential","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120231202000128","2023-12-02 12:31:01","2024-01-01 00:00:00","2024-12-31 00:00:00","New","Jabal Ali Industrial First","83000","83000","Non Free Hold","241.55","Unit","Warehouse","","Commercial","DANUBE Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","",""
"0120231202000132","2023-12-02 12:47:12","2023-12-02 00:00:00","2024-06-01 00:00:00","New","Wadi Al Safa 2","22000","44000","Free Hold","37.85","Unit","Flat","","Residential","","","IMG World Adventures","","1","","Wavez Residence"
"0120231202000135","2023-12-02 12:49:59","2023-12-05 00:00:00","2024-12-04 00:00:00","New","Me'Aisem First","54000","54000","Free Hold","77.33","Unit","Flat","","Residential","Damac Properties","Marina Mall","Sports City Swimming Academy","","1","","OAKWOOD RESIDENCY"
"0120231202000145","2023-12-02 13:11:24","2023-12-01 00:00:00","2024-05-31 00:00:00","New","Jabal Ali First","33000","66000","Free Hold","35","Unit","Flat","","Residential","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","","CANDACE ACACIA HOTEL APARTMENTS"
"0120231202000145","2023-12-02 13:11:24","2023-12-01 00:00:00","2024-05-31 00:00:00","New","Jabal Ali First","33000","66000","Free Hold","35","Unit","Flat","","Residential","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","","AZIZI FEIROUZ I"
"0120231202000157","2023-12-02 13:39:44","2023-12-01 00:00:00","2024-11-30 00:00:00","New","Nadd Hessa","53000","53000","Free Hold","78.68","Unit","Flat","","Residential","","","IMG World Adventures","","1","","AXIS  RESIDENCES 1"
"0120231202000159","2023-12-02 13:44:26","2023-12-10 00:00:00","2024-12-09 00:00:00","New","Naif","40000","40000","Non Free Hold","35.32","Unit","Flat","","Residential","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120231202000163","2023-12-02 13:53:29","2023-12-07 00:00:00","2024-12-06 00:00:00","New","Al Raffa","56000","56000","Non Free Hold","500","Unit","Flat","","Residential","ADCB Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120231202000166","2023-12-02 14:03:16","2023-12-02 00:00:00","2024-12-01 00:00:00","New","Al Thanyah Fifth","400000","400000","Free Hold","989.49","Villa","Villa","4","Residential","Harbour Tower","Marina Mall","Sports City Swimming Academy","","1","",""
"0120231202000169","2023-12-02 14:05:29","2023-12-02 00:00:00","2024-12-01 00:00:00","New","Naif","20000","20000","Non Free Hold","28","Unit","Office","","Commercial","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120231202000173","2023-12-02 14:08:57","2023-11-26 00:00:00","2024-11-25 00:00:00","New","Wadi Al Safa 5","40700","40700","Free Hold","64.45","Unit","Flat","","Residential","","","IMG World Adventures","","1","",""
"0120231202000177","2023-12-02 14:19:40","2023-12-01 00:00:00","2024-11-30 00:00:00","New","Al Warqa First","60000","60000","Non Free Hold","10","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
