Ejari Contract Number,Registration Date,Start Date,End Date,Version,Area,Contract Amount,Annual Amount,Is Free Hold?,Property Size (sq.m),Property Type,Property Sub Type,Number of Rooms,Usage,Nearest Metro,Nearest Mall,Nearest Landmark,Parking,No of Units,Master Project,Project
"0120130921000288","2023-12-04 19:12:21","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Oud Metha","80000","80000","Non Free Hold","138.05","Unit","Flat","","Residential","Healthcare City Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120131024001361","2023-12-04 19:22:21","2023-10-29 00:00:00","2024-10-28 00:00:00","Renewed","Jabal Ali First","28589","28589","Free Hold","43","Unit","Flat","","Residential","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
"0120131113001546","2023-12-04 11:42:11","2023-11-12 00:00:00","2024-11-11 00:00:00","Renewed","Al Qusais First","67000","67000","Non Free Hold","142.14","Unit","Flat","","Residential","Airport Free Zone","City Centre Mirdif","Dubai International Airport","","1","",""
"0120160524000905","2023-12-04 10:03:04","2023-06-10 00:00:00","2024-06-09 00:00:00","Renewed","Mirdif","89000","89000","Non Free Hold","184","Villa","Complex Villas","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","0","1","",""
"0120161031001657","2023-12-04 16:16:05","2022-11-07 00:00:00","2024-11-06 00:00:00","Renewed","Muhaisanah Fourth","39000","19500","Non Free Hold","85.6","Unit","Flat","","Residential","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120161102000478","2023-12-04 11:38:30","2023-12-07 00:00:00","2024-12-06 00:00:00","Renewed","Al Karama","100000","100000","Non Free Hold","153.57","Unit","Flat","","Residential","ADCB Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120161128000288","2023-12-04 14:49:59","2023-12-05 00:00:00","2024-12-04 00:00:00","Renewed","Muhaisanah Fourth","41800","41800","Non Free Hold","100.24","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120161205003032","2023-12-04 14:56:45","2023-12-11 00:00:00","2024-12-10 00:00:00","Renewed","Al Karama","60900","60900","Non Free Hold","135.92","Unit","Flat","","Residential","ADCB Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120170809001750","2023-12-04 22:47:40","2024-01-01 00:00:00","2024-12-31 00:00:00","Renewed","Wadi Al Safa 5","57200","57200","Free Hold","38.14","Unit","Shop","","Commercial","","","IMG World Adventures","","1","","SOLITAIRE CASCADES"
"0120171031000012","2023-12-04 18:17:29","2023-11-10 00:00:00","2024-11-09 00:00:00","Renewed","Al Suq Al Kabeer","22000","22000","Non Free Hold","11.5","Unit","Shop","","Commercial","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120171120001849","2023-12-04 14:56:27","2023-12-01 00:00:00","2024-11-30 00:00:00","Renewed","Al Warsan First","23595","23595","Free Hold","45","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120171217003537","2023-12-04 12:26:09","2023-11-15 00:00:00","2024-11-14 00:00:00","Renewed","Lehbab First","39000","39000","Non Free Hold","53.43","Unit","Shop","","Commercial","","","","","1","",""
"0120180314001076","2023-12-04 14:41:51","2023-11-24 00:00:00","2024-11-23 00:00:00","Renewed","Al Garhoud","130000","130000","Non Free Hold","3716.12","Villa","Complex Villas","","Residential","Terminal 3 ","City Centre Mirdif","Dubai International Airport","1","1","",""
