Ejari Contract Number,Registration Date,Start Date,End Date,Version,Area,Contract Amount,Annual Amount,Is Free Hold?,Property Size (sq.m),Property Type,Property Sub Type,Number of Rooms,Usage,Nearest Metro,Nearest Mall,Nearest Landmark,Parking,No of Units,Master Project,Project
"0120130801002260","2023-08-20 13:41:20","2023-08-30 00:00:00","2024-08-29 00:00:00","Renewed","Al Warsan First","43000","43000","Free Hold","108.72","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120130916001583","2023-08-20 14:06:27","2023-08-19 00:00:00","2024-02-18 00:00:00","Renewed","Ras Al Khor Industrial Third","20900","41800","Non Free Hold","85.01","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120140712000399","2023-08-20 08:24:21","2023-11-01 00:00:00","2024-10-31 00:00:00","Renewed","Muhaisanah Fourth","130000","130000","Non Free Hold","45.35","Unit","Shop","","Commercial","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120160823001282","2023-08-20 15:33:09","2023-08-30 00:00:00","2024-08-29 00:00:00","Renewed","Ras Al Khor Industrial Third","65180.56","65180.56","Non Free Hold","131.9","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120161022000056","2023-08-20 10:09:58","2023-06-15 00:00:00","2024-06-14 00:00:00","Renewed","Al Buteen","250000","250000","Non Free Hold","170.5","Unit","Shop","","Commercial","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120170110001443","2023-08-20 11:03:15","2023-06-01 00:00:00","2024-05-31 00:00:00","Renewed","Marsa Dubai","441000","441000","Free Hold","240.34","Unit","Shop","","Commercial","Jumeirah Beach Residency","Marina Mall","Burj Al Arab","","2","",""
"0120170110001443","2023-08-20 11:03:15","2023-06-01 00:00:00","2024-05-31 00:00:00","Renewed","Marsa Dubai","441000","441000","Free Hold","126.35","Unit","Shop","","Commercial","Jumeirah Beach Residency","Marina Mall","Burj Al Arab","","2","",""
"0120170701000989","2023-08-20 00:18:26","2023-07-20 00:00:00","2024-07-19 00:00:00","Renewed","Mirdif","90000","90000","Non Free Hold","450","Villa","Villa","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","2","1","",""
"0120170719000286","2023-08-20 10:15:11","2023-07-01 00:00:00","2024-06-30 00:00:00","Renewed","Al Karama","30000","30000","Non Free Hold","22.76","Unit","Flat","","Residential","ADCB Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120170904002007","2023-08-20 10:44:01","2023-09-05 00:00:00","2023-11-04 00:00:00","Renewed","Oud Metha","11866","71196","Non Free Hold","102.19","Unit","Flat","","Residential","Oud Metha Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120180310000990","2023-08-20 15:24:37","2023-06-01 00:00:00","2024-05-31 00:00:00","Renewed","Mankhool","75000","75000","Non Free Hold","1800","Unit","Flat","","Residential","Al Fahidi Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120180515000556","2023-08-20 14:12:43","2023-08-25 00:00:00","2024-08-24 00:00:00","Renewed","Mankhool","33000","33000","Non Free Hold","44.97","Unit","Flat","","Residential","Burjuman Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120180704003822","2023-08-20 14:49:08","2023-07-20 00:00:00","2024-07-19 00:00:00","Renewed","Al Barsha First","78750","78750","Non Free Hold","148.63","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120180709002336","2023-08-20 14:49:00","2023-08-09 00:00:00","2024-08-08 00:00:00","Renewed","Al Hudaiba","75000","75000","Non Free Hold","154.96","Unit","Flat","","Residential","Al Jafiliya Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120180731001860","2023-08-20 15:18:24","2023-08-31 00:00:00","2024-08-30 00:00:00","Renewed","Al Nahda Second","46200","46200","Non Free Hold","99.31","Unit","Flat","","Residential","Al Nahda Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120180801001697","2023-08-20 15:33:18","2023-09-01 00:00:00","2024-08-31 00:00:00","Renewed","Al Karama","53900","53900","Non Free Hold","88.63","Unit","Flat","","Residential","ADCB Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120180809001578","2023-08-20 11:49:12","2023-08-12 00:00:00","2024-08-11 00:00:00","Renewed","Nadd Hessa","38500","38500","Free Hold","79.11","Unit","Flat","","Residential","","","IMG World Adventures","","1","","AXIS  RESIDENCES 1"
"0120180814000446","2023-08-20 15:20:00","2023-08-21 00:00:00","2024-08-20 00:00:00","Renewed","Al Qusais First","25200","25200","Non Free Hold","44.69","Unit","Flat","","Residential","Airport Free Zone","City Centre Mirdif","Dubai International Airport","","1","",""
