Ejari Contract Number,Registration Date,Start Date,End Date,Version,Area,Contract Amount,Annual Amount,Is Free Hold?,Property Size (sq.m),Property Type,Property Sub Type,Number of Rooms,Usage,Nearest Metro,Nearest Mall,Nearest Landmark,Parking,No of Units,Master Project,Project
"0120170308002630","2023-07-30 12:19:35","2018-07-20 00:00:00","2021-07-19 00:00:00","Renewed","Zaabeel Second","7986314.64","2662104.88","Non Free Hold","170.35","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 13:12:58","2021-07-20 00:00:00","2026-07-19 00:00:00","Renewed","Zaabeel Second","13576596.3","2715319.26","Non Free Hold","103.91","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 12:19:35","2018-07-20 00:00:00","2021-07-19 00:00:00","Renewed","Zaabeel Second","7986314.64","2662104.88","Non Free Hold","103.91","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 13:12:58","2021-07-20 00:00:00","2026-07-19 00:00:00","Renewed","Zaabeel Second","13576596.3","2715319.26","Non Free Hold","87.46","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 12:19:35","2018-07-20 00:00:00","2021-07-19 00:00:00","Renewed","Zaabeel Second","7986314.64","2662104.88","Non Free Hold","87.46","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 12:19:35","2018-07-20 00:00:00","2021-07-19 00:00:00","Renewed","Zaabeel Second","7986314.64","2662104.88","Non Free Hold","125.53","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 13:12:58","2021-07-20 00:00:00","2026-07-19 00:00:00","Renewed","Zaabeel Second","13576596.3","2715319.26","Non Free Hold","125.53","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 12:19:35","2018-07-20 00:00:00","2021-07-19 00:00:00","Renewed","Zaabeel Second","7986314.64","2662104.88","Non Free Hold","129.79","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 13:12:58","2021-07-20 00:00:00","2026-07-19 00:00:00","Renewed","Zaabeel Second","13576596.3","2715319.26","Non Free Hold","129.79","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 12:19:35","2018-07-20 00:00:00","2021-07-19 00:00:00","Renewed","Zaabeel Second","7986314.64","2662104.88","Non Free Hold","234.79","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 13:12:58","2021-07-20 00:00:00","2026-07-19 00:00:00","Renewed","Zaabeel Second","13576596.3","2715319.26","Non Free Hold","234.79","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 12:19:35","2018-07-20 00:00:00","2021-07-19 00:00:00","Renewed","Zaabeel Second","7986314.64","2662104.88","Non Free Hold","116.72","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 13:12:58","2021-07-20 00:00:00","2026-07-19 00:00:00","Renewed","Zaabeel Second","13576596.3","2715319.26","Non Free Hold","116.72","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 13:12:58","2021-07-20 00:00:00","2026-07-19 00:00:00","Renewed","Zaabeel Second","13576596.3","2715319.26","Non Free Hold","121.96","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 12:19:35","2018-07-20 00:00:00","2021-07-19 00:00:00","Renewed","Zaabeel Second","7986314.64","2662104.88","Non Free Hold","121.96","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 12:19:35","2018-07-20 00:00:00","2021-07-19 00:00:00","Renewed","Zaabeel Second","7986314.64","2662104.88","Non Free Hold","85.41","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 13:12:58","2021-07-20 00:00:00","2026-07-19 00:00:00","Renewed","Zaabeel Second","13576596.3","2715319.26","Non Free Hold","85.41","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 13:12:58","2021-07-20 00:00:00","2026-07-19 00:00:00","Renewed","Zaabeel Second","13576596.3","2715319.26","Non Free Hold","101.68","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 12:19:35","2018-07-20 00:00:00","2021-07-19 00:00:00","Renewed","Zaabeel Second","7986314.64","2662104.88","Non Free Hold","101.68","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 12:19:35","2018-07-20 00:00:00","2021-07-19 00:00:00","Renewed","Zaabeel Second","7986314.64","2662104.88","Non Free Hold","139.41","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 13:12:58","2021-07-20 00:00:00","2026-07-19 00:00:00","Renewed","Zaabeel Second","13576596.3","2715319.26","Non Free Hold","139.41","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 12:19:35","2018-07-20 00:00:00","2021-07-19 00:00:00","Renewed","Zaabeel Second","7986314.64","2662104.88","Non Free Hold","237.21","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 13:12:58","2021-07-20 00:00:00","2026-07-19 00:00:00","Renewed","Zaabeel Second","13576596.3","2715319.26","Non Free Hold","237.21","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170410001527","2023-07-30 13:31:29","2023-08-10 00:00:00","2024-08-09 00:00:00","Renewed","Muhaisanah Fourth","50000","50000","Non Free Hold","133.9","Unit","Flat","","Residential","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120170429000532","2023-07-30 11:02:02","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Al Murqabat","29900","29900","Non Free Hold","27.87","Unit","Flat","","Residential","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120170523001458","2023-07-30 16:57:33","2023-07-01 00:00:00","2024-06-30 00:00:00","Renewed","Al Karama","55000","55000","Non Free Hold","91.97","Unit","Flat","","Residential","Oud Metha Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120170709001520","2023-07-30 13:40:17","2023-08-09 00:00:00","2024-08-08 00:00:00","Renewed","Al Karama","53900","53900","Non Free Hold","83.52","Unit","Flat","","Residential","ADCB Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120170718003424","2023-07-30 17:25:47","2023-06-01 00:00:00","2024-05-31 00:00:00","Renewed","Al Suq Al Kabeer","50000","50000","Non Free Hold","60","Unit","Shop","","Commercial","Al Fahidi Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120170728000010","2023-07-30 09:49:55","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Al Warsan First","47000","47000","Free Hold","107.18","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120170808000900","2023-07-30 12:01:21","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Al Khabeesi","80000","80000","Non Free Hold","500","Unit","Warehouse","","Commercial","Abu Baker Al Siddique Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120170814001554","2023-07-30 12:59:21","2023-08-16 00:00:00","2024-08-15 00:00:00","Renewed","Al Nahda Second","38500","38500","Non Free Hold","0","Unit","Flat","","Residential","Al Nahda Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120170820000439","2023-07-30 11:33:47","2023-08-17 00:00:00","2024-08-16 00:00:00","Renewed","Al Baraha","22000","22000","Non Free Hold","1","Unit","Flat","","Residential","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120170820000490","2023-07-30 15:11:36","2023-08-20 00:00:00","2024-08-19 00:00:00","Renewed","Al Qusais Industrial Second","39900","39900","Non Free Hold","107.81","Unit","Flat","","Residential","Airport Free Zone","City Centre Mirdif","Dubai International Airport","","1","",""
"0120171022000405","2023-07-30 13:40:14","2023-07-23 00:00:00","2024-07-22 00:00:00","Renewed","Muhaisanah Fourth","41000","41000","Non Free Hold","107.58","Unit","Flat","","Residential","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120180128002258","2023-07-30 13:42:03","2023-08-02 00:00:00","2024-08-01 00:00:00","Renewed","Al Barsha First","70000","70000","Non Free Hold","100.74","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120180508000498","2023-07-30 16:42:29","2023-07-01 00:00:00","2024-06-30 00:00:00","Renewed","Al Karama","85000","85000","Non Free Hold","205.04","Unit","Flat","","Residential","Oud Metha Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120180514001018","2023-07-30 20:39:23","2023-05-22 00:00:00","2024-05-21 00:00:00","Renewed","Al Warsan First","33000","33000","Free Hold","67.9","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120180531002712","2023-07-30 17:02:51","2023-07-23 00:00:00","2024-07-22 00:00:00","Renewed","Jabal Ali First","156450","156450","Free Hold","378236","Villa","Villa","4","Residential","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","",""
"0120180620001334","2023-07-30 20:06:38","2023-07-24 00:00:00","2024-07-23 00:00:00","Renewed","Al Warsan First","22138","22138","Free Hold","44.5","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120180620004054","2023-07-30 13:22:40","2023-07-20 00:00:00","2024-07-19 00:00:00","Renewed","Al Karama","48300","48300","Non Free Hold","91.97","Unit","Flat","","Residential","ADCB Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120180624004324","2023-07-30 12:24:37","2023-08-23 00:00:00","2024-08-22 00:00:00","Renewed","Al Murqabat","60500","60500","Non Free Hold","78.97","Unit","Flat","","Residential","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120180626001821","2023-07-30 13:40:32","2023-07-05 00:00:00","2024-07-04 00:00:00","Renewed","Al Warsan First","30000","30000","Free Hold","64.45","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","","INTERNATIONAL CITY EMARATI"
"0120180702000785","2023-07-30 10:29:09","2023-09-01 00:00:00","2024-08-31 00:00:00","Renewed","Al Murqabat","60500","60500","Non Free Hold","78.97","Unit","Flat","","Residential","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120180709001164","2023-07-30 13:47:53","2023-08-10 00:00:00","2024-08-09 00:00:00","Renewed","Al Nahda Second","48000","48000","Non Free Hold","90.5","Unit","Flat","","Residential","Al Nahda Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120180718003626","2023-07-30 12:07:45","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Al Goze Fourth","52000","52000","Non Free Hold","70","Unit","Flat","","Residential","Noor Bank Metro Station","Mall of the Emirates","Downtown Dubai","","1","",""
"0120180725002540","2023-07-30 11:25:19","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Muhaisanah Fourth","44000","44000","Non Free Hold","98.28","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120180728000417","2023-07-30 17:55:40","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Al Barsha First","44000","44000","Non Free Hold","53","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120180807002891","2023-07-30 17:49:44","2023-08-13 00:00:00","2024-08-12 00:00:00","Renewed","Al Murqabat","78000","78000","Non Free Hold","1","Unit","Flat","","Residential","Al Rigga Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120180812001087","2023-07-30 17:40:52","2023-08-20 00:00:00","2024-08-19 00:00:00","Renewed","Al Murqabat","78000","78000","Non Free Hold","6","Unit","Flat","","Residential","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120180812001270","2023-07-30 17:52:24","2023-09-26 00:00:00","2024-09-25 00:00:00","Renewed","Al Murqabat","55000","55000","Non Free Hold","1","Unit","Flat","","Residential","Al Rigga Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120180827001631","2023-07-30 13:08:42","2023-08-28 00:00:00","2024-08-27 00:00:00","Renewed","Al Rega","56000","56000","Non Free Hold","107.49","Unit","Flat","","Residential","Union Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120180904000584","2023-07-30 17:58:56","2023-09-01 00:00:00","2024-08-31 00:00:00","Renewed","Al Murqabat","90000","90000","Non Free Hold","1","Unit","Flat","","Residential","Al Rigga Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120181120000212","2023-07-30 11:39:51","2023-06-01 00:00:00","2024-05-31 00:00:00","Renewed","Al Muteena","146742","146742","Non Free Hold","153.94","Unit","Office","","Commercial","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120181129001797","2023-07-30 13:15:06","2023-07-01 00:00:00","2024-06-30 00:00:00","Renewed","Al Jafliya","90000","90000","Non Free Hold","1","Villa","Villa","","Residential","Al Jafiliya Metro Station","Dubai Mall","Burj Khalifa","0","1","",""
"0120190408000418","2023-07-30 16:10:21","2023-07-01 00:00:00","2024-06-30 00:00:00","Renewed","Al Karama","140000","140000","Non Free Hold","348.01","Unit","Flat","","Residential","Oud Metha Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120190423000544","2023-07-30 18:04:06","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Al Qusais Second","55000","55000","Non Free Hold","102.19","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120190529002036","2023-07-30 19:56:01","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Al Murqabat","40250","40250","Non Free Hold","64.1","Unit","Flat","","Residential","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120190626000631","2023-07-30 10:48:41","2023-01-01 00:00:00","2023-12-31 00:00:00","Renewed","Naif","60250","60250","Non Free Hold","22","Unit","Shop","","Commercial","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120190629000726","2023-07-30 11:32:36","2023-08-07 00:00:00","2024-08-06 00:00:00","Renewed","Al Barshaa South Third","42000","42000","Free Hold","61.41","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","","1","",""
"0120190727000370","2023-07-30 10:20:16","2023-08-10 00:00:00","2024-08-09 00:00:00","Renewed","Al Qusais First","42000","42000","Non Free Hold","83.61","Unit","Flat","","Residential","Airport Free Zone","City Centre Mirdif","Dubai International Airport","","1","",""
"0120191024002486","2023-07-30 12:05:55","2022-11-18 00:00:00","2023-11-17 00:00:00","Renewed","Burj Khalifa","140000","140000","Free Hold","202.2","Unit","Flat","","Residential","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120191105002559","2023-07-30 11:53:04","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Al Thanyah First","52000","52000","Non Free Hold","110","Unit","Flat","","Residential","Dubai Internet City","Marina Mall","Burj Al Arab","","1","",""
"0120200216003095","2023-07-30 14:45:39","2023-06-15 00:00:00","2024-06-14 00:00:00","Renewed","Al Karama","50000","50000","Non Free Hold","38.09","Unit","Shop","","Commercial","ADCB Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120200216003095","2023-07-30 14:45:39","2023-06-15 00:00:00","2024-06-14 00:00:00","Renewed","Al Karama","50000","50000","Non Free Hold","38.09","Unit","Shop","","Commercial","Burjuman Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120200315003196","2023-07-30 10:03:52","2023-03-16 00:00:00","2024-03-15 00:00:00","Renewed","Warsan Fourth","40000","40000","Free Hold","63.62","Unit","Shop","","Commercial","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120200324002432","2023-07-30 19:33:03","2023-05-12 00:00:00","2024-05-11 00:00:00","Renewed","Al Nahda Second","30000","30000","Non Free Hold","74.32","Unit","Flat","","Residential","Al Nahda Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120200414000109","2023-07-30 16:51:42","2023-07-22 00:00:00","2024-07-21 00:00:00","Renewed","Al Barsha First","46000","46000","Non Free Hold","74.32","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120200427001591","2023-07-30 11:47:21","2023-07-27 00:00:00","2023-10-26 00:00:00","Renewed","Dubai Investment Park First","9000","36000","Free Hold","84.38","Unit","Flat","","Residential","DANUBE Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","",""
"0120200514002315","2023-07-30 16:21:38","2023-06-01 00:00:00","2024-05-31 00:00:00","Renewed","Al Rashidiya","80000","80000","Non Free Hold","1","Villa","Villa","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","0","1","",""
"0120200517001345","2023-07-30 20:55:52","2023-06-25 00:00:00","2024-06-24 00:00:00","Renewed","Al Warsan First","45000","45000","Free Hold","106.56","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120200520002066","2023-07-30 21:07:20","2023-06-27 00:00:00","2024-06-26 00:00:00","Renewed","Al Warsan First","32890","32890","Free Hold","70.69","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120200601001578","2023-07-30 17:18:43","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Al Murqabat","40250","40250","Non Free Hold","64.1","Unit","Flat","","Residential","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120200601001789","2023-07-30 11:58:48","2023-07-01 00:00:00","2024-06-30 00:00:00","Renewed","Nad Al Hamar","71000","71000","Non Free Hold","139.35","Unit","Showroom","","Commercial","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120200625002747","2023-07-30 11:04:00","2023-07-20 00:00:00","2024-07-19 00:00:00","Renewed","Al Goze Industrial First","92000","92000","Non Free Hold","255","Unit","Warehouse","","Commercial","Noor Bank Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120200625003714","2023-07-30 13:31:42","2023-07-31 00:00:00","2024-07-30 00:00:00","Renewed","Nadd Hessa","35000","35000","Free Hold","48.35","Unit","Flat","","Residential","","","IMG World Adventures","","1","","ATRIUM GOLD TOWERS"
"0120200628004328","2023-07-30 14:47:55","2023-07-10 00:00:00","2024-07-09 00:00:00","Renewed","Mirdif","84000","84000","Non Free Hold","250","Villa","Villa","","Residential","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"0120200702003733","2023-07-30 11:49:46","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Al Qusais First","66000","66000","Non Free Hold","123.4","Unit","Flat","","Residential","Airport Free Zone","City Centre Mirdif","Dubai International Airport","","1","",""
"0120200708001330","2023-07-30 17:28:50","2023-08-02 00:00:00","2024-08-01 00:00:00","Renewed","Marsa Dubai","180000","180000","Free Hold","139.08","Unit","Flat","","Residential","Jumeirah Beach Residency","Marina Mall","Burj Al Arab","","1","",""
"0120200712001364","2023-07-30 12:43:51","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Al Karama","45000","45000","Non Free Hold","51.1","Unit","Flat","","Residential","Burjuman Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120200714002011","2023-07-30 10:25:34","2023-08-15 00:00:00","2024-08-14 00:00:00","Renewed","Al Qusais First","42000","42000","Non Free Hold","83.61","Unit","Flat","","Residential","Airport Free Zone","City Centre Mirdif","Dubai International Airport","","1","",""
"0120200716002613","2023-07-30 12:26:09","2023-07-24 00:00:00","2024-07-23 00:00:00","Renewed","Al Nahda Second","45000","45000","Non Free Hold","86","Unit","Flat","","Residential","Al Nahda Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120200716002929","2023-07-30 12:59:26","2023-08-15 00:00:00","2024-08-14 00:00:00","Renewed","Al Jafliya","140000","140000","Non Free Hold","278","Villa","Villa","","Residential","Al Jafiliya Metro Station","Dubai Mall","Burj Khalifa","2","1","",""
"0120200718001264","2023-07-30 17:18:21","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Al Suq Al Kabeer","26400","26400","Non Free Hold","25.46","Unit","Flat","","Residential","Al Ghubaiba Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120200720002538","2023-07-30 13:08:41","2023-08-02 00:00:00","2024-08-01 00:00:00","Renewed","Al Goze Fourth","18000","18000","Non Free Hold","19.51","Unit","Flat","","Residential","Noor Bank Metro Station","Mall of the Emirates","Downtown Dubai","","1","",""
"0120200720004807","2023-07-30 20:02:28","2023-08-15 00:00:00","2024-08-14 00:00:00","Renewed","Al Nahda Second","42500","42500","Non Free Hold","97.54","Unit","Flat","","Residential","Al Nahda Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120200721002021","2023-07-30 13:39:26","2023-07-21 00:00:00","2024-07-20 00:00:00","Renewed","Naif","34000","34000","Non Free Hold","37.16","Unit","Shop","","Commercial","Union Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120200726000550","2023-07-30 11:53:16","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Al Barsha First","66000","66000","Non Free Hold","110.96","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120200729003471","2023-07-30 10:33:54","2023-07-29 00:00:00","2024-07-28 00:00:00","Renewed","Al Karama","44000","44000","Non Free Hold","53.61","Unit","Flat","","Residential","ADCB Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120200804000584","2023-07-30 13:47:30","2023-08-09 00:00:00","2024-08-08 00:00:00","Renewed","Nadd Hessa","61000","61000","Free Hold","106.68","Unit","Flat","","Residential","","","IMG World Adventures","","1","","ATRIUM GOLD TOWERS"
