Ejari Contract Number,Registration Date,Start Date,End Date,Version,Area,Contract Amount,Annual Amount,Is Free Hold?,Property Size (sq.m),Property Type,Property Sub Type,Number of Rooms,Usage,Nearest Metro,Nearest Mall,Nearest Landmark,Parking,No of Units,Master Project,Project
"0120130704001193","2023-07-30 13:22:26","2023-07-01 00:00:00","2024-06-30 00:00:00","Renewed","Al Qusais First","24682","24682","Non Free Hold","37.16","Unit","Flat","","Residential","Airport Free Zone","City Centre Mirdif","Dubai International Airport","","1","",""
"0120130729002885","2023-07-30 13:50:32","2023-08-05 00:00:00","2024-08-04 00:00:00","Renewed","Muhaisanah Fourth","34500","34500","Non Free Hold","101.45","Unit","Flat","","Residential","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120130818002615","2023-07-30 13:06:04","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Al Khabeesi","27000","27000","Non Free Hold","64.01","Unit","Office","","Commercial","Abu Baker Al Siddique Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120130824000381","2023-07-30 13:40:02","2023-08-29 00:00:00","2024-08-28 00:00:00","Renewed","Al Barsha First","63250","63250","Non Free Hold","138.7","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120140325000844","2023-07-30 19:41:00","2023-07-06 00:00:00","2024-03-05 00:00:00","Renewed","Oud Metha","55333","82999.5","Non Free Hold","141.96","Unit","Flat","","Residential","Healthcare City Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120140610000524","2023-07-30 10:14:52","2023-08-01 00:00:00","2023-10-31 00:00:00","Renewed","Mankhool","13475","53900","Non Free Hold","90.45","Unit","Flat","","Residential","Burjuman Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120140723001694","2023-07-30 17:34:22","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Al Goze First","54000","54000","Non Free Hold","37.16","Unit","Shop","","Commercial","Business Bay Metro Station","Dubai Mall","Downtown Dubai","","1","",""
"0120140826000439","2023-07-30 13:15:55","2023-07-25 00:00:00","2024-07-24 00:00:00","Renewed","Al Barsha South Fifth","113400","113400","Free Hold","656.17","Villa","Villa","2","Residential","Damac Properties","Marina Mall","Sports City Swimming Academy","","1","",""
"0120150722000481","2023-07-30 11:09:20","2023-08-12 00:00:00","2024-08-11 00:00:00","Renewed","Al Hamriya","31500","31500","Non Free Hold","60.39","Unit","Flat","","Residential","Al Fahidi Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120150906002717","2023-07-30 10:26:09","2023-09-06 00:00:00","2024-09-05 00:00:00","Renewed","Al Warsan First","22138","22138","Free Hold","43","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120160823002681","2023-07-30 16:56:59","2023-08-28 00:00:00","2024-08-27 00:00:00","Renewed","Nadd Hessa","41800","41800","Free Hold","83","Unit","Flat","","Residential","","","IMG World Adventures","","1","",""
"0120170308002630","2023-07-30 12:19:35","2018-07-20 00:00:00","2021-07-19 00:00:00","Renewed","Zaabeel Second","7986314.64","2662104.88","Non Free Hold","5.15","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 13:12:58","2021-07-20 00:00:00","2026-07-19 00:00:00","Renewed","Zaabeel Second","13576596.3","2715319.26","Non Free Hold","5.15","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 13:12:58","2021-07-20 00:00:00","2026-07-19 00:00:00","Renewed","Zaabeel Second","13576596.3","2715319.26","Non Free Hold","181.47","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 12:19:35","2018-07-20 00:00:00","2021-07-19 00:00:00","Renewed","Zaabeel Second","7986314.64","2662104.88","Non Free Hold","181.47","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
"0120170308002630","2023-07-30 13:12:58","2021-07-20 00:00:00","2026-07-19 00:00:00","Renewed","Zaabeel Second","13576596.3","2715319.26","Non Free Hold","170.35","Unit","Office","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","","14","",""
